 - url, - mass, - name,Count,film name,film count, - gender, - edited, - height, - created, - homeworld, - eye_color, - skin_color, - hair_color, - birth_year, - films - , - species - , - starships - , - vehicles - 
http://swapi.co/api/people/1/,77,Luke Skywalker,5,Revenge of the Sith,8,male,2014-12-20T21:17:56.891000Z,172,2014-12-09T13:50:51.644000Z,http://swapi.co/api/planets/1/,blue,fair,blond,19BBY,http://swapi.co/api/films/6/,http://swapi.co/api/species/1/,http://swapi.co/api/starships/12/,http://swapi.co/api/vehicles/14/
http://swapi.co/api/people/1/,77,Luke Skywalker,5,Return of the Jedi,6,male,,,,,,,,,http://swapi.co/api/films/3/,,http://swapi.co/api/starships/22/,http://swapi.co/api/vehicles/30/
http://swapi.co/api/people/1/,77,Luke Skywalker,5,The Empire Strikes Back,6,male,,,,,,,,,http://swapi.co/api/films/2/,,,
http://swapi.co/api/people/1/,77,Luke Skywalker,5,A New Hope,10,male,,,,,,,,,http://swapi.co/api/films/1/,,,
http://swapi.co/api/people/1/,77,Luke Skywalker,5,The Force Awakens,3,male,,,,,,,,,http://swapi.co/api/films/7/,,,
http://swapi.co/api/people/2/,75,C-3PO,6,Attack of the Clones,5,n/a,2014-12-20T21:17:50.309000Z,167,2014-12-10T15:10:51.357000Z,http://swapi.co/api/planets/1/,yellow,gold,n/a,112BBY,http://swapi.co/api/films/5/,http://swapi.co/api/species/2/,,
http://swapi.co/api/people/2/,75,C-3PO,6,The Phantom Menace,3,n/a,,,,,,,,,http://swapi.co/api/films/4/,,,
http://swapi.co/api/people/2/,75,C-3PO,6,Revenge of the Sith,8,n/a,,,,,,,,,http://swapi.co/api/films/6/,,,
http://swapi.co/api/people/2/,75,C-3PO,6,Return of the Jedi,6,n/a,,,,,,,,,http://swapi.co/api/films/3/,,,
http://swapi.co/api/people/2/,75,C-3PO,6,The Empire Strikes Back,6,n/a,,,,,,,,,http://swapi.co/api/films/2/,,,
http://swapi.co/api/people/2/,75,C-3PO,6,A New Hope,10,n/a,,,,,,,,,http://swapi.co/api/films/1/,,,
http://swapi.co/api/people/3/,32,R2-D2,7,Attack of the Clones,5,n/a,2014-12-20T21:17:50.311000Z,96,2014-12-10T15:11:50.376000Z,http://swapi.co/api/planets/8/,red,"white, blue",n/a,33BBY,http://swapi.co/api/films/5/,http://swapi.co/api/species/2/,,
http://swapi.co/api/people/3/,32,R2-D2,7,The Phantom Menace,3,n/a,,,,,,,,,http://swapi.co/api/films/4/,,,
http://swapi.co/api/people/3/,32,R2-D2,7,Revenge of the Sith,8,n/a,,,,,,,,,http://swapi.co/api/films/6/,,,
http://swapi.co/api/people/3/,32,R2-D2,7,Return of the Jedi,6,n/a,,,,,,,,,http://swapi.co/api/films/3/,,,
http://swapi.co/api/people/3/,32,R2-D2,7,The Empire Strikes Back,6,n/a,,,,,,,,,http://swapi.co/api/films/2/,,,
http://swapi.co/api/people/3/,32,R2-D2,7,A New Hope,10,n/a,,,,,,,,,http://swapi.co/api/films/1/,,,
http://swapi.co/api/people/3/,32,R2-D2,7,The Force Awakens,3,n/a,,,,,,,,,http://swapi.co/api/films/7/,,,
http://swapi.co/api/people/4/,136,Darth Vader,4,Revenge of the Sith,8,male,2014-12-20T21:17:50.313000Z,202,2014-12-10T15:18:20.704000Z,http://swapi.co/api/planets/1/,yellow,white,none,41.9BBY,http://swapi.co/api/films/6/,http://swapi.co/api/species/1/,http://swapi.co/api/starships/13/,
http://swapi.co/api/people/4/,136,Darth Vader,4,Return of the Jedi,6,male,,,,,,,,,http://swapi.co/api/films/3/,,,
http://swapi.co/api/people/4/,136,Darth Vader,4,The Empire Strikes Back,6,male,,,,,,,,,http://swapi.co/api/films/2/,,,
http://swapi.co/api/people/4/,136,Darth Vader,4,A New Hope,10,male,,,,,,,,,http://swapi.co/api/films/1/,,,
http://swapi.co/api/people/5/,49,Leia Organa,5,Revenge of the Sith,8,female,2014-12-20T21:17:50.315000Z,150,2014-12-10T15:20:09.791000Z,http://swapi.co/api/planets/2/,brown,light,brown,19BBY,http://swapi.co/api/films/6/,http://swapi.co/api/species/1/,,http://swapi.co/api/vehicles/30/
http://swapi.co/api/people/5/,49,Leia Organa,5,Return of the Jedi,6,female,,,,,,,,,http://swapi.co/api/films/3/,,,
http://swapi.co/api/people/5/,49,Leia Organa,5,The Empire Strikes Back,6,female,,,,,,,,,http://swapi.co/api/films/2/,,,
http://swapi.co/api/people/5/,49,Leia Organa,5,A New Hope,10,female,,,,,,,,,http://swapi.co/api/films/1/,,,
http://swapi.co/api/people/5/,49,Leia Organa,5,The Force Awakens,3,female,,,,,,,,,http://swapi.co/api/films/7/,,,
http://swapi.co/api/people/6/,120,Owen Lars,3,Attack of the Clones,5,male,2014-12-20T21:17:50.317000Z,178,2014-12-10T15:52:14.024000Z,http://swapi.co/api/planets/1/,blue,light,"brown, grey",52BBY,http://swapi.co/api/films/5/,http://swapi.co/api/species/1/,,
http://swapi.co/api/people/6/,120,Owen Lars,3,Revenge of the Sith,8,male,,,,,,,,,http://swapi.co/api/films/6/,,,
http://swapi.co/api/people/6/,120,Owen Lars,3,A New Hope,10,male,,,,,,,,,http://swapi.co/api/films/1/,,,
